State,Measure ID,Measure Name,Number of Hospitals Worse,Number of Hospitals Same,Number of Hospitals Better,Number of Hospitals Too Few,Footnote,Start Date,End Date
AK,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,0,8,0,2,,4/1/2015,3/31/2018
AK,MORT_30_AMI,Death rate for heart attack patients,0,5,0,13,,7/1/2015,6/30/2018
AK,MORT_30_CABG,Death rate for CABG surgery patients,0,2,0,0,,7/1/2015,6/30/2018
AK,MORT_30_COPD,Death rate for COPD patients,0,12,0,11,,7/1/2015,6/30/2018
AK,MORT_30_HF,Death rate for heart failure patients,0,9,0,14,,7/1/2015,6/30/2018
AK,MORT_30_PN,Death rate for pneumonia patients,0,15,0,8,,7/1/2015,6/30/2018
AK,MORT_30_STK,Death rate for stroke patients,0,8,0,14,,7/1/2015,6/30/2018
AK,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,6,0,0,,7/1/2016,6/30/2018
AK,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,0,6,0,0,,7/1/2016,6/30/2018
AK,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,0,7,0,0,,7/1/2016,6/30/2018
AK,PSI_13_POST_SEPSIS,Blood stream infection after surgery,0,6,0,0,,7/1/2016,6/30/2018
AK,PSI_14_POSTOP_DEHIS,A wound that splits open after surgery on the abdomen or pelvis,0,7,0,0,,7/1/2016,6/30/2018
AK,PSI_15_ACC_LAC,Accidental cuts and tears from medical treatment,1,6,0,1,,7/1/2016,6/30/2018
AK,PSI_3_ULCER,Pressure sores,1,7,0,0,,7/1/2016,6/30/2018
AK,PSI_4_SURG_COMP,Deaths among Patients with Serious Treatable Complications after Surgery,0,4,0,3,,7/1/2016,6/30/2018
AK,PSI_6_IAT_PTX,Collapsed lung due to medical treatment,0,8,0,0,,7/1/2016,6/30/2018
AK,PSI_8_POST_HIP,Broken hip from a fall after surgery,0,8,0,0,,7/1/2016,6/30/2018
AK,PSI_90_SAFETY,Serious complications,0,8,0,Not Available,,7/1/2016,6/30/2018
AK,PSI_9_POST_HEM,Perioperative Hemorrhage or Hematoma Rate,0,7,0,0,,7/1/2016,6/30/2018
AL,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,1,42,0,6,,4/1/2015,3/31/2018
AL,MORT_30_AMI,Death rate for heart attack patients,0,38,0,49,,7/1/2015,6/30/2018
AL,MORT_30_CABG,Death rate for CABG surgery patients,1,21,0,1,,7/1/2015,6/30/2018
AL,MORT_30_COPD,Death rate for COPD patients,0,76,1,11,,7/1/2015,6/30/2018
AL,MORT_30_HF,Death rate for heart failure patients,1,70,4,14,,7/1/2015,6/30/2018
AL,MORT_30_PN,Death rate for pneumonia patients,11,73,1,4,,7/1/2015,6/30/2018
AL,MORT_30_STK,Death rate for stroke patients,1,51,0,34,,7/1/2015,6/30/2018
AL,PSI_10_POST_KIDNEY,Postoperative Acute Kidney Injury Requiring Dialysis Rate,0,47,0,11,,7/1/2016,6/30/2018
AL,PSI_11_POST_RESP,Postoperative Respiratory Failure Rate,3,43,0,11,,7/1/2016,6/30/2018
AL,PSI_12_POSTOP_PULMEMB_DVT,Serious blood clots after surgery,4,57,0,10,,7/1/2016,6/30/2018
AL,PSI_13_POST_SEPSIS,Blood stream infection after surgery,4,42,0,10,,7/1/2016,6/30/2018
